effect,group,term,estimate,std.error,statistic,df,p.value,warnings,n_subj,n_ingroup,beta_0,beta_1,omega_0,tau_0,tau_1,rho,sigma,n_outgroup
fixed,NA,(Intercept),794.168489471366,34.2298386371035,23.201058523557442,21.241912462393014,1.4205239511935835e-16,,10,10,800,100,100,80,40,0.2,200,10
fixed,NA,X_i,116.95564837138961,62.664216380704005,1.8663865141287141,20.411115170671703,0.07642189872541327,,10,10,800,100,100,80,40,0.2,200,10
ran_pars,item_id,sd__(Intercept),113.38745543159422,NA,NA,NA,NA,,10,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,sd__(Intercept),58.94428228655842,NA,NA,NA,NA,,10,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,cor__(Intercept).X_i,-0.9553619027308724,NA,NA,NA,NA,,10,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,sd__X_i,79.3629616275814,NA,NA,NA,NA,,10,10,800,100,100,80,40,0.2,200,10
ran_pars,Residual,sd__Observation,190.47480632976618,NA,NA,NA,NA,,10,10,800,100,100,80,40,0.2,200,10
fixed,NA,(Intercept),751.5499165574903,21.954556966259556,34.23206934726561,21.020776934670383,6.373750307024806e-20,,10,15,800,100,100,80,40,0.2,200,15
fixed,NA,X_i,130.69652897598084,39.585683492401635,3.3016110231131335,29.77830588301988,0.0025033121064618686,,10,15,800,100,100,80,40,0.2,200,15
ran_pars,item_id,sd__(Intercept),86.1580987292778,NA,NA,NA,NA,,10,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,sd__(Intercept),30.222759846910268,NA,NA,NA,NA,,10,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,cor__(Intercept).X_i,1,NA,NA,NA,NA,,10,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,sd__X_i,6.619770635950463,NA,NA,NA,NA,,10,15,800,100,100,80,40,0.2,200,15
ran_pars,Residual,sd__Observation,207.28274247042543,NA,NA,NA,NA,,10,15,800,100,100,80,40,0.2,200,15
fixed,NA,(Intercept),825.5901812841261,34.7003171029262,23.79200682331822,13.74105565657387,1.456102281559165e-12,,10,20,800,100,100,80,40,0.2,200,20
fixed,NA,X_i,129.5499705759752,34.030195544339065,3.8069123172442625,39.13273520734596,4.8386202777988776e-4,,10,20,800,100,100,80,40,0.2,200,20
ran_pars,item_id,sd__(Intercept),87.19382223895737,NA,NA,NA,NA,,10,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,sd__(Intercept),95.7450562844368,NA,NA,NA,NA,,10,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,cor__(Intercept).X_i,-1,NA,NA,NA,NA,,10,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,sd__X_i,9.193748841068917,NA,NA,NA,NA,,10,20,800,100,100,80,40,0.2,200,20
ran_pars,Residual,sd__Observation,197.31331514796486,NA,NA,NA,NA,,10,20,800,100,100,80,40,0.2,200,20
fixed,NA,(Intercept),782.6988581716535,37.75989238716701,20.72831273315969,13.351488712439206,1.526721376464362e-11,,10,25,800,100,100,80,40,0.2,200,25
fixed,NA,X_i,138.64276447505821,36.3550290280491,3.8135787037356166,31.960254711451363,5.903666232253038e-4,,10,25,800,100,100,80,40,0.2,200,25
ran_pars,item_id,sd__(Intercept),100.17881639191694,NA,NA,NA,NA,,10,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,sd__(Intercept),106.94575506481489,NA,NA,NA,NA,,10,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,cor__(Intercept).X_i,-0.5580553609985004,NA,NA,NA,NA,,10,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,sd__X_i,43.97818252520245,NA,NA,NA,NA,,10,25,800,100,100,80,40,0.2,200,25
ran_pars,Residual,sd__Observation,201.68554159676864,NA,NA,NA,NA,,10,25,800,100,100,80,40,0.2,200,25
fixed,NA,(Intercept),829.7659395434357,24.625071571571002,33.69598082717366,26.99737424545066,1.3477458150146783e-23,,20,10,800,100,100,80,40,0.2,200,10
fixed,NA,X_i,124.79177919209847,41.8689440365521,2.980533234445887,20.102628122545447,0.0073644455527788494,,20,10,800,100,100,80,40,0.2,200,10
ran_pars,item_id,sd__(Intercept),81.15891405868004,NA,NA,NA,NA,,20,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,sd__(Intercept),58.56123700211185,NA,NA,NA,NA,,20,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,cor__(Intercept).X_i,1,NA,NA,NA,NA,,20,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,sd__X_i,16.319050805390592,NA,NA,NA,NA,,20,10,800,100,100,80,40,0.2,200,10
ran_pars,Residual,sd__Observation,205.50888972004213,NA,NA,NA,NA,,20,10,800,100,100,80,40,0.2,200,10
fixed,NA,(Intercept),777.749788722014,25.418115018964404,30.59824806606377,35.523326068221536,4.044191548661817e-27,,20,15,800,100,100,80,40,0.2,200,15
fixed,NA,X_i,152.00669226407868,36.22260820958086,4.196459056304868,28.772790722139852,2.3704887535964326e-4,,20,15,800,100,100,80,40,0.2,200,15
ran_pars,item_id,sd__(Intercept),84.86128283975121,NA,NA,NA,NA,,20,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,sd__(Intercept),81.55710168441435,NA,NA,NA,NA,,20,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,cor__(Intercept).X_i,0.2275339722500011,NA,NA,NA,NA,,20,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,sd__X_i,34.078505855730285,NA,NA,NA,NA,,20,15,800,100,100,80,40,0.2,200,15
ran_pars,Residual,sd__Observation,209.93515930248842,NA,NA,NA,NA,,20,15,800,100,100,80,40,0.2,200,15
fixed,NA,(Intercept),842.4844102260586,27.450321826629363,30.691239816677502,34.01232872259893,2.231781029842886e-26,,20,20,800,100,100,80,40,0.2,200,20
fixed,NA,X_i,113.81417229414191,33.68426859540282,3.378852415090738,40.07112873036301,0.0016318848805436316,,20,20,800,100,100,80,40,0.2,200,20
ran_pars,item_id,sd__(Intercept),91.38142240025812,NA,NA,NA,NA,,20,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,sd__(Intercept),99.38827244020432,NA,NA,NA,NA,,20,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,cor__(Intercept).X_i,-0.2252721794763352,NA,NA,NA,NA,,20,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,sd__X_i,43.853167957350465,NA,NA,NA,NA,,20,20,800,100,100,80,40,0.2,200,20
ran_pars,Residual,sd__Observation,201.7020068432744,NA,NA,NA,NA,,20,20,800,100,100,80,40,0.2,200,20
fixed,NA,(Intercept),777.5854952119232,26.231888606469244,29.64275683223803,36.30925515495883,4.844888657832514e-27,,20,25,800,100,100,80,40,0.2,200,25
fixed,NA,X_i,102.85038844408737,31.41813633607202,3.2735992785798067,46.52563948294572,0.002007330926465684,,20,25,800,100,100,80,40,0.2,200,25
ran_pars,item_id,sd__(Intercept),100.99793860508085,NA,NA,NA,NA,,20,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,sd__(Intercept),94.16060997956203,NA,NA,NA,NA,,20,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,cor__(Intercept).X_i,0.9019589988778295,NA,NA,NA,NA,,20,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,sd__X_i,12.566197298888286,NA,NA,NA,NA,,20,25,800,100,100,80,40,0.2,200,25
ran_pars,Residual,sd__Observation,201.96357153347412,NA,NA,NA,NA,,20,25,800,100,100,80,40,0.2,200,25
fixed,NA,(Intercept),761.4180342019386,31.376980408903275,24.266772145667808,28.353529425034065,1.640944743187333e-20,,30,10,800,100,100,80,40,0.2,200,10
fixed,NA,X_i,214.00743125252603,57.064230488102204,3.750290320608918,20.629729699623777,0.0012075382902759333,,30,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,sd__(Intercept),74.91096265696731,NA,NA,NA,NA,,30,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,cor__(Intercept).X_i,0.3286117384551613,NA,NA,NA,NA,,30,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,sd__X_i,44.66109482607318,NA,NA,NA,NA,,30,10,800,100,100,80,40,0.2,200,10
ran_pars,item_id,sd__(Intercept),120.95774688590936,NA,NA,NA,NA,,30,10,800,100,100,80,40,0.2,200,10
ran_pars,Residual,sd__Observation,198.8783479242241,NA,NA,NA,NA,,30,10,800,100,100,80,40,0.2,200,10
fixed,NA,(Intercept),817.3701044195078,25.59889001569852,31.929904144994396,52.22075237724256,6.139559072606285e-36,,30,15,800,100,100,80,40,0.2,200,15
fixed,NA,X_i,184.3146465179449,37.29001416025843,4.942734688322456,33.58380460094653,2.096390750890804e-5,,30,15,800,100,100,80,40,0.2,200,15
ran_pars,item_id,sd__(Intercept),91.73192486180345,NA,NA,NA,NA,,30,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,sd__(Intercept),100.36828645734316,NA,NA,NA,NA,,30,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,cor__(Intercept).X_i,0.33825273632867603,NA,NA,NA,NA,,30,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,sd__X_i,58.09600660460811,NA,NA,NA,NA,,30,15,800,100,100,80,40,0.2,200,15
ran_pars,Residual,sd__Observation,187.39446116467616,NA,NA,NA,NA,,30,15,800,100,100,80,40,0.2,200,15
fixed,NA,(Intercept),791.561490113189,19.129379538274165,41.37936039846084,57.26309299967067,2.331269865345131e-44,,30,20,800,100,100,80,40,0.2,200,20
fixed,NA,X_i,91.21933819746691,31.06656114410926,2.936254765190309,44.638055850749616,0.005235521383357085,,30,20,800,100,100,80,40,0.2,200,20
ran_pars,item_id,sd__(Intercept),85.28096897155677,NA,NA,NA,NA,,30,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,sd__(Intercept),66.93622260137217,NA,NA,NA,NA,,30,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,cor__(Intercept).X_i,0.5117602310695935,NA,NA,NA,NA,,30,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,sd__X_i,54.44069104870652,NA,NA,NA,NA,,30,20,800,100,100,80,40,0.2,200,20
ran_pars,Residual,sd__Observation,204.2453620422467,NA,NA,NA,NA,,30,20,800,100,100,80,40,0.2,200,20
fixed,NA,(Intercept),778.7440171738936,19.771688559917806,39.386823983896036,59.731750560516126,1.9263280916594354e-44,,30,25,800,100,100,80,40,0.2,200,25
fixed,NA,X_i,82.16285406837312,27.47008664613387,2.9909936261499452,48.78285566098294,0.004350434370424051,,30,25,800,100,100,80,40,0.2,200,25
ran_pars,item_id,sd__(Intercept),88.30524982860997,NA,NA,NA,NA,,30,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,sd__(Intercept),78.52927605404602,NA,NA,NA,NA,,30,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,cor__(Intercept).X_i,0.45084230877693476,NA,NA,NA,NA,,30,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,sd__X_i,19.879597064013932,NA,NA,NA,NA,,30,25,800,100,100,80,40,0.2,200,25
ran_pars,Residual,sd__Observation,210.0062581642414,NA,NA,NA,NA,,30,25,800,100,100,80,40,0.2,200,25
fixed,NA,(Intercept),785.8551634160739,20.31145690501799,38.69024103445414,35.76439798092108,8.773560387761933e-31,,40,10,800,100,100,80,40,0.2,200,10
fixed,NA,X_i,98.07896682771946,34.12963840821613,2.8737183105962414,21.351441887960956,0.008991769609000456,,40,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,sd__(Intercept),73.65470060869039,NA,NA,NA,NA,,40,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,cor__(Intercept).X_i,-0.11059019640191203,NA,NA,NA,NA,,40,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,sd__X_i,47.79647837802911,NA,NA,NA,NA,,40,10,800,100,100,80,40,0.2,200,10
ran_pars,item_id,sd__(Intercept),67.50681580314519,NA,NA,NA,NA,,40,10,800,100,100,80,40,0.2,200,10
ran_pars,Residual,sd__Observation,198.13409513059239,NA,NA,NA,NA,,40,10,800,100,100,80,40,0.2,200,10
fixed,NA,(Intercept),828.9680338499805,18.230836720455287,45.470652091347254,55.64835706807811,1.0657463025906094e-45,,40,15,800,100,100,80,40,0.2,200,15
fixed,NA,X_i,132.610026428154,26.342304211350054,5.034108837412051,30.472424357720087,2.033706998252008e-5,,40,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,sd__(Intercept),80.358352974906,NA,NA,NA,NA,,40,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,cor__(Intercept).X_i,1,NA,NA,NA,NA,,40,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,sd__X_i,20.208760808785705,NA,NA,NA,NA,,40,15,800,100,100,80,40,0.2,200,15
ran_pars,item_id,sd__(Intercept),63.46813999589273,NA,NA,NA,NA,,40,15,800,100,100,80,40,0.2,200,15
ran_pars,Residual,sd__Observation,209.72350957095702,NA,NA,NA,NA,,40,15,800,100,100,80,40,0.2,200,15
fixed,NA,(Intercept),802.0385138622571,20.767171025539405,38.6204992907273,70.58631918117717,3.285682745909615e-49,,40,20,800,100,100,80,40,0.2,200,20
fixed,NA,X_i,101.50528273847023,31.89526026488205,3.1824566376162036,45.944654362180536,0.0026193615433114234,,40,20,800,100,100,80,40,0.2,200,20
ran_pars,item_id,sd__(Intercept),90.90784817833638,NA,NA,NA,NA,,40,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,sd__(Intercept),89.39985581046865,NA,NA,NA,NA,,40,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,cor__(Intercept).X_i,0.5163142489303556,NA,NA,NA,NA,,40,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,sd__X_i,60.47792312632128,NA,NA,NA,NA,,40,20,800,100,100,80,40,0.2,200,20
ran_pars,Residual,sd__Observation,199.4436879735104,NA,NA,NA,NA,,40,20,800,100,100,80,40,0.2,200,20
fixed,NA,(Intercept),832.5286613140554,19.54913358317976,42.58647360363685,79.8236276066706,1.1889845261342266e-56,,40,25,800,100,100,80,40,0.2,200,25
fixed,NA,X_i,54.298546759504994,29.649985681325223,1.8313178071348766,51.33918139695119,0.07285860680646242,,40,25,800,100,100,80,40,0.2,200,25
ran_pars,item_id,sd__(Intercept),98.35859998855894,NA,NA,NA,NA,,40,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,sd__(Intercept),81.9376139305205,NA,NA,NA,NA,,40,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,cor__(Intercept).X_i,-0.12099025734341463,NA,NA,NA,NA,,40,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,sd__X_i,29.54617616782339,NA,NA,NA,NA,,40,25,800,100,100,80,40,0.2,200,25
ran_pars,Residual,sd__Observation,204.13733418041787,NA,NA,NA,NA,,40,25,800,100,100,80,40,0.2,200,25
fixed,NA,(Intercept),845.1309582185663,27.000304643839545,31.30079343054351,29.648437627921506,2.8628482995209066e-24,,50,10,800,100,100,80,40,0.2,200,10
fixed,NA,X_i,62.8493399737367,48.47466680196137,1.2965399067207968,20.023495905866675,0.2095332423386215,,50,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,sd__(Intercept),84.63019294552551,NA,NA,NA,NA,,50,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,cor__(Intercept).X_i,0.46981752556268835,NA,NA,NA,NA,,50,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,sd__X_i,18.315407121298577,NA,NA,NA,NA,,50,10,800,100,100,80,40,0.2,200,10
ran_pars,item_id,sd__(Intercept),104.36871706809471,NA,NA,NA,NA,,50,10,800,100,100,80,40,0.2,200,10
ran_pars,Residual,sd__Observation,202.8043504912358,NA,NA,NA,NA,,50,10,800,100,100,80,40,0.2,200,10
fixed,NA,(Intercept),798.1604391104498,22.55826924891928,35.382166526303344,41.64594966641991,1.0570761023409525e-32,,50,15,800,100,100,80,40,0.2,200,15
fixed,NA,X_i,108.16745170938762,41.62616256446855,2.59854488248498,31.407247374762388,0.014134475863592745,,50,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,sd__(Intercept),65.90727143750082,NA,NA,NA,NA,,50,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,cor__(Intercept).X_i,0.2682402384463672,NA,NA,NA,NA,,50,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,sd__X_i,47.29526302054297,NA,NA,NA,NA,,50,15,800,100,100,80,40,0.2,200,15
ran_pars,item_id,sd__(Intercept),108.84554264235068,NA,NA,NA,NA,,50,15,800,100,100,80,40,0.2,200,15
ran_pars,Residual,sd__Observation,201.57531285998738,NA,NA,NA,NA,,50,15,800,100,100,80,40,0.2,200,15
fixed,NA,(Intercept),754.8357791492709,22.654118392659832,33.32002446821526,69.83558962149401,1.3127978564154744e-44,,50,20,800,100,100,80,40,0.2,200,20
fixed,NA,X_i,100.32460089452334,37.68083012234739,2.6624838298088287,40.684908433851405,0.011057707913752466,,50,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,sd__(Intercept),90.1163846067102,NA,NA,NA,NA,,50,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,cor__(Intercept).X_i,0.5445353919105326,NA,NA,NA,NA,,50,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,sd__X_i,28.883957555450692,NA,NA,NA,NA,,50,20,800,100,100,80,40,0.2,200,20
ran_pars,item_id,sd__(Intercept),115.02107121631128,NA,NA,NA,NA,,50,20,800,100,100,80,40,0.2,200,20
ran_pars,Residual,sd__Observation,200.21815134121496,NA,NA,NA,NA,,50,20,800,100,100,80,40,0.2,200,20
fixed,NA,(Intercept),773.8642332969163,19.667033607712835,39.34829465046673,84.51004447590569,4.0502886778390995e-56,,50,25,800,100,100,80,40,0.2,200,25
fixed,NA,X_i,72.47851951272244,32.7698186305859,2.2117461292591405,52.921469402438476,0.03132438325285884,,50,25,800,100,100,80,40,0.2,200,25
ran_pars,item_id,sd__(Intercept),110.33158331715039,NA,NA,NA,NA,,50,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,sd__(Intercept),79.81646546594217,NA,NA,NA,NA,,50,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,cor__(Intercept).X_i,0.3581637573810578,NA,NA,NA,NA,,50,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,sd__X_i,42.62958018320548,NA,NA,NA,NA,,50,25,800,100,100,80,40,0.2,200,25
ran_pars,Residual,sd__Observation,199.48485025194591,NA,NA,NA,NA,,50,25,800,100,100,80,40,0.2,200,25
fixed,NA,(Intercept),839.5126314210871,40.230177366374946,20.867733785403736,19.245153294142142,1.1139917221456991e-14,,10,10,800,100,100,80,40,0.2,200,10
fixed,NA,X_i,119.96469938240385,59.19263511398978,2.0266828660589735,21.68812899726702,0.055164859920664396,,10,10,800,100,100,80,40,0.2,200,10
ran_pars,item_id,sd__(Intercept),109.92711551741492,NA,NA,NA,NA,,10,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,sd__(Intercept),92.4986371888801,NA,NA,NA,NA,,10,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,cor__(Intercept).X_i,-0.9999999993085249,NA,NA,NA,NA,,10,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,sd__X_i,67.25314273236663,NA,NA,NA,NA,,10,10,800,100,100,80,40,0.2,200,10
ran_pars,Residual,sd__Observation,178.13974651998925,NA,NA,NA,NA,,10,10,800,100,100,80,40,0.2,200,10
fixed,NA,(Intercept),767.2696997166256,28.50026590606656,26.921492671172054,13.720765703289361,2.8432445193330223e-13,,10,15,800,100,100,80,40,0.2,200,15
fixed,NA,X_i,119.64771124597091,40.670851239168556,2.9418541191176923,16.215584964839,0.009467574021058849,,10,15,800,100,100,80,40,0.2,200,15
ran_pars,item_id,sd__(Intercept),65.9142038932992,NA,NA,NA,NA,,10,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,sd__(Intercept),72.14736039674128,NA,NA,NA,NA,,10,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,cor__(Intercept).X_i,-0.16762962370696916,NA,NA,NA,NA,,10,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,sd__X_i,69.79642960349092,NA,NA,NA,NA,,10,15,800,100,100,80,40,0.2,200,15
ran_pars,Residual,sd__Observation,209.94160116460074,NA,NA,NA,NA,,10,15,800,100,100,80,40,0.2,200,15
fixed,NA,(Intercept),776.7691878625974,29.944631933683876,25.940181518438752,26.51033268118364,2.2604583755192998e-20,,10,20,800,100,100,80,40,0.2,200,20
fixed,NA,X_i,156.8766152707075,45.47837049429231,3.4494774893132125,39.95122806794201,0.0013386141679173802,,10,20,800,100,100,80,40,0.2,200,20
ran_pars,item_id,sd__(Intercept),129.18241212004406,NA,NA,NA,NA,,10,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,sd__(Intercept),62.44815473249263,NA,NA,NA,NA,,10,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,cor__(Intercept).X_i,-0.9999999937355549,NA,NA,NA,NA,,10,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,sd__X_i,20.363464351181044,NA,NA,NA,NA,,10,20,800,100,100,80,40,0.2,200,20
ran_pars,Residual,sd__Observation,189.21034714376836,NA,NA,NA,NA,,10,20,800,100,100,80,40,0.2,200,20
fixed,NA,(Intercept),763.4832821278521,23.506179408325487,32.480109543341584,16.59914269606324,1.8481820953183242e-16,,10,25,800,100,100,80,40,0.2,200,25
fixed,NA,X_i,145.1838163310004,29.922022268252356,4.852072330854531,45.5810324360686,1.4667172561169134e-5,,10,25,800,100,100,80,40,0.2,200,25
ran_pars,item_id,sd__(Intercept),82.83387112266321,NA,NA,NA,NA,,10,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,sd__(Intercept),58.10159410897496,NA,NA,NA,NA,,10,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,cor__(Intercept).X_i,1,NA,NA,NA,NA,,10,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,sd__X_i,18.837099117918466,NA,NA,NA,NA,,10,25,800,100,100,80,40,0.2,200,25
ran_pars,Residual,sd__Observation,197.14454401868568,NA,NA,NA,NA,,10,25,800,100,100,80,40,0.2,200,25
fixed,NA,(Intercept),830.5940050619834,35.69606414065148,23.268503826899064,33.76590818201721,2.28214010859442e-22,,20,10,800,100,100,80,40,0.2,200,10
fixed,NA,X_i,103.2243642463275,54.657284421962665,1.8885746948095608,20.154704371181364,0.07342744901343425,,20,10,800,100,100,80,40,0.2,200,10
ran_pars,item_id,sd__(Intercept),113.12062636309867,NA,NA,NA,NA,,20,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,sd__(Intercept),104.2010858696489,NA,NA,NA,NA,,20,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,cor__(Intercept).X_i,-0.45613421743539967,NA,NA,NA,NA,,20,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,sd__X_i,35.2579123409472,NA,NA,NA,NA,,20,10,800,100,100,80,40,0.2,200,10
ran_pars,Residual,sd__Observation,191.31322471154215,NA,NA,NA,NA,,20,10,800,100,100,80,40,0.2,200,10
fixed,NA,(Intercept),819.0046437633752,24.058673470386875,34.04197013486485,37.500210844719334,8.349865905473739e-30,,20,15,800,100,100,80,40,0.2,200,15
fixed,NA,X_i,85.97083638555503,37.29791568532205,2.304976962007219,30.05246154754859,0.02825236738189753,,20,15,800,100,100,80,40,0.2,200,15
ran_pars,item_id,sd__(Intercept),90.06720653328152,NA,NA,NA,NA,,20,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,sd__(Intercept),68.31477113728651,NA,NA,NA,NA,,20,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,cor__(Intercept).X_i,1,NA,NA,NA,NA,,20,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,sd__X_i,13.591930663866632,NA,NA,NA,NA,,20,15,800,100,100,80,40,0.2,200,15
ran_pars,Residual,sd__Observation,212.2323937867352,NA,NA,NA,NA,,20,15,800,100,100,80,40,0.2,200,15
fixed,NA,(Intercept),807.9730063931665,23.243224608947365,34.76165721352369,38.91160469397932,6.492684863981521e-31,,20,20,800,100,100,80,40,0.2,200,20
fixed,NA,X_i,122.77011339322613,32.043932980188046,3.831306021927202,39.93103128077678,4.411207819582445e-4,,20,20,800,100,100,80,40,0.2,200,20
ran_pars,item_id,sd__(Intercept),89.6897450067399,NA,NA,NA,NA,,20,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,sd__(Intercept),75.50022224784341,NA,NA,NA,NA,,20,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,cor__(Intercept).X_i,-1,NA,NA,NA,NA,,20,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,sd__X_i,10.844714699492943,NA,NA,NA,NA,,20,20,800,100,100,80,40,0.2,200,20
ran_pars,Residual,sd__Observation,208.09046737210576,NA,NA,NA,NA,,20,20,800,100,100,80,40,0.2,200,20
fixed,NA,(Intercept),778.2800580809991,23.167264106861172,33.593956303649385,38.44047293793808,4.2058796305162956e-30,,20,25,800,100,100,80,40,0.2,200,25
fixed,NA,X_i,75.44364585601387,31.746203598064717,2.3764619798700277,51.08633832923954,0.021264953218737507,,20,25,800,100,100,80,40,0.2,200,25
ran_pars,item_id,sd__(Intercept),94.08077800835606,NA,NA,NA,NA,,20,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,sd__(Intercept),80.00301765026272,NA,NA,NA,NA,,20,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,cor__(Intercept).X_i,0.7027758767682241,NA,NA,NA,NA,,20,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,sd__X_i,53.10922796109208,NA,NA,NA,NA,,20,25,800,100,100,80,40,0.2,200,25
ran_pars,Residual,sd__Observation,199.18365577150956,NA,NA,NA,NA,,20,25,800,100,100,80,40,0.2,200,25
fixed,NA,(Intercept),786.9407803245257,24.426281145828725,32.21697055013679,35.26294973116842,9.511065425294357e-28,,30,10,800,100,100,80,40,0.2,200,10
fixed,NA,X_i,32.99421120072001,38.985138190816656,0.8463279273046704,19.869244811297484,0.40744773656463584,,30,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,sd__(Intercept),80.63659736791433,NA,NA,NA,NA,,30,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,cor__(Intercept).X_i,-1,NA,NA,NA,NA,,30,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,sd__X_i,2.6623409255963324,NA,NA,NA,NA,,30,10,800,100,100,80,40,0.2,200,10
ran_pars,item_id,sd__(Intercept),79.09822579998823,NA,NA,NA,NA,,30,10,800,100,100,80,40,0.2,200,10
ran_pars,Residual,sd__Observation,200.61114108234884,NA,NA,NA,NA,,30,10,800,100,100,80,40,0.2,200,10
fixed,NA,(Intercept),845.3821303309746,22.954707868075992,36.82826787382821,50.00177572659561,6.746078620821809e-38,,30,15,800,100,100,80,40,0.2,200,15
fixed,NA,X_i,40.966543413423864,34.659232820850185,1.1819806752554358,31.52700841310027,0.24605205099872335,,30,15,800,100,100,80,40,0.2,200,15
ran_pars,item_id,sd__(Intercept),84.77927806466427,NA,NA,NA,NA,,30,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,sd__(Intercept),85.2188157182059,NA,NA,NA,NA,,30,15,800,100,100,80,40,0.2,200,15
